"sigma","tpr","fpr","noise","freq","nr_transition_days","window_size_days","nr_baselinedays","ews"
0.25,0.932,0.746,4,9,10,10,25,"Autocorrelation"
0.5,0.91,0.656,4,9,10,10,25,"Autocorrelation"
0.75,0.89,0.6,4,9,10,10,25,"Autocorrelation"
1,0.852,0.53,4,9,10,10,25,"Autocorrelation"
1.25,0.816,0.44,4,9,10,10,25,"Autocorrelation"
1.5,0.748,0.33,4,9,10,10,25,"Autocorrelation"
1.75,0.668,0.27,4,9,10,10,25,"Autocorrelation"
2,0.6,0.22,4,9,10,10,25,"Autocorrelation"
2.25,0.53,0.158,4,9,10,10,25,"Autocorrelation"
2.5,0.476,0.124,4,9,10,10,25,"Autocorrelation"
2.75,0.408,0.092,4,9,10,10,25,"Autocorrelation"
3,0.366,0.078,4,9,10,10,25,"Autocorrelation"
3.25,0.308,0.062,4,9,10,10,25,"Autocorrelation"
3.5,0.276,0.044,4,9,10,10,25,"Autocorrelation"
3.75,0.246,0.036,4,9,10,10,25,"Autocorrelation"
4,0.208,0.026,4,9,10,10,25,"Autocorrelation"
4.25,0.17,0.014,4,9,10,10,25,"Autocorrelation"
4.5,0.156,0.014,4,9,10,10,25,"Autocorrelation"
4.75,0.14,0.008,4,9,10,10,25,"Autocorrelation"
5,0.126,0.004,4,9,10,10,25,"Autocorrelation"
5.25,0.106,0.004,4,9,10,10,25,"Autocorrelation"
5.5,0.088,0.004,4,9,10,10,25,"Autocorrelation"
5.75,0.07,0.004,4,9,10,10,25,"Autocorrelation"
6,0.054,0.004,4,9,10,10,25,"Autocorrelation"
0.25,0.782,0.692,6,9,10,10,25,"Autocorrelation"
0.5,0.744,0.632,6,9,10,10,25,"Autocorrelation"
0.75,0.7,0.584,6,9,10,10,25,"Autocorrelation"
1,0.634,0.496,6,9,10,10,25,"Autocorrelation"
1.25,0.552,0.428,6,9,10,10,25,"Autocorrelation"
1.5,0.496,0.36,6,9,10,10,25,"Autocorrelation"
1.75,0.426,0.292,6,9,10,10,25,"Autocorrelation"
2,0.362,0.23,6,9,10,10,25,"Autocorrelation"
2.25,0.318,0.172,6,9,10,10,25,"Autocorrelation"
2.5,0.276,0.13,6,9,10,10,25,"Autocorrelation"
2.75,0.244,0.094,6,9,10,10,25,"Autocorrelation"
3,0.202,0.074,6,9,10,10,25,"Autocorrelation"
3.25,0.162,0.06,6,9,10,10,25,"Autocorrelation"
3.5,0.124,0.046,6,9,10,10,25,"Autocorrelation"
3.75,0.11,0.034,6,9,10,10,25,"Autocorrelation"
4,0.096,0.024,6,9,10,10,25,"Autocorrelation"
4.25,0.086,0.018,6,9,10,10,25,"Autocorrelation"
4.5,0.072,0.014,6,9,10,10,25,"Autocorrelation"
4.75,0.056,0.012,6,9,10,10,25,"Autocorrelation"
5,0.046,0.008,6,9,10,10,25,"Autocorrelation"
5.25,0.036,0.006,6,9,10,10,25,"Autocorrelation"
5.5,0.026,0.004,6,9,10,10,25,"Autocorrelation"
5.75,0.02,0.002,6,9,10,10,25,"Autocorrelation"
6,0.02,0.002,6,9,10,10,25,"Autocorrelation"
0.25,0.79,0.72,8,9,10,10,25,"Autocorrelation"
0.5,0.736,0.66,8,9,10,10,25,"Autocorrelation"
0.75,0.662,0.584,8,9,10,10,25,"Autocorrelation"
1,0.584,0.506,8,9,10,10,25,"Autocorrelation"
1.25,0.504,0.426,8,9,10,10,25,"Autocorrelation"
1.5,0.436,0.352,8,9,10,10,25,"Autocorrelation"
1.75,0.37,0.286,8,9,10,10,25,"Autocorrelation"
2,0.298,0.21,8,9,10,10,25,"Autocorrelation"
2.25,0.254,0.142,8,9,10,10,25,"Autocorrelation"
2.5,0.202,0.104,8,9,10,10,25,"Autocorrelation"
2.75,0.168,0.084,8,9,10,10,25,"Autocorrelation"
3,0.126,0.066,8,9,10,10,25,"Autocorrelation"
3.25,0.092,0.048,8,9,10,10,25,"Autocorrelation"
3.5,0.066,0.034,8,9,10,10,25,"Autocorrelation"
3.75,0.056,0.018,8,9,10,10,25,"Autocorrelation"
4,0.048,0.012,8,9,10,10,25,"Autocorrelation"
4.25,0.044,0.01,8,9,10,10,25,"Autocorrelation"
4.5,0.038,0.004,8,9,10,10,25,"Autocorrelation"
4.75,0.032,0,8,9,10,10,25,"Autocorrelation"
5,0.026,0,8,9,10,10,25,"Autocorrelation"
5.25,0.022,0,8,9,10,10,25,"Autocorrelation"
5.5,0.016,0,8,9,10,10,25,"Autocorrelation"
5.75,0.01,0,8,9,10,10,25,"Autocorrelation"
6,0.008,0,8,9,10,10,25,"Autocorrelation"
0.25,0.722,0.724,10,9,10,10,25,"Autocorrelation"
0.5,0.686,0.662,10,9,10,10,25,"Autocorrelation"
0.75,0.61,0.584,10,9,10,10,25,"Autocorrelation"
1,0.532,0.514,10,9,10,10,25,"Autocorrelation"
1.25,0.456,0.432,10,9,10,10,25,"Autocorrelation"
1.5,0.4,0.348,10,9,10,10,25,"Autocorrelation"
1.75,0.338,0.292,10,9,10,10,25,"Autocorrelation"
2,0.264,0.232,10,9,10,10,25,"Autocorrelation"
2.25,0.22,0.174,10,9,10,10,25,"Autocorrelation"
2.5,0.188,0.138,10,9,10,10,25,"Autocorrelation"
2.75,0.156,0.086,10,9,10,10,25,"Autocorrelation"
3,0.126,0.056,10,9,10,10,25,"Autocorrelation"
3.25,0.106,0.038,10,9,10,10,25,"Autocorrelation"
3.5,0.072,0.032,10,9,10,10,25,"Autocorrelation"
3.75,0.054,0.03,10,9,10,10,25,"Autocorrelation"
4,0.034,0.028,10,9,10,10,25,"Autocorrelation"
4.25,0.024,0.02,10,9,10,10,25,"Autocorrelation"
4.5,0.02,0.018,10,9,10,10,25,"Autocorrelation"
4.75,0.014,0.016,10,9,10,10,25,"Autocorrelation"
5,0.008,0.01,10,9,10,10,25,"Autocorrelation"
5.25,0.006,0.006,10,9,10,10,25,"Autocorrelation"
5.5,0.006,0.004,10,9,10,10,25,"Autocorrelation"
5.75,0.006,0.002,10,9,10,10,25,"Autocorrelation"
6,0.006,0.002,10,9,10,10,25,"Autocorrelation"
0.25,0.918,0.734,4,18,10,10,25,"Autocorrelation"
0.5,0.898,0.672,4,18,10,10,25,"Autocorrelation"
0.75,0.876,0.596,4,18,10,10,25,"Autocorrelation"
1,0.816,0.516,4,18,10,10,25,"Autocorrelation"
1.25,0.752,0.422,4,18,10,10,25,"Autocorrelation"
1.5,0.698,0.356,4,18,10,10,25,"Autocorrelation"
1.75,0.624,0.276,4,18,10,10,25,"Autocorrelation"
2,0.534,0.218,4,18,10,10,25,"Autocorrelation"
2.25,0.474,0.164,4,18,10,10,25,"Autocorrelation"
2.5,0.428,0.136,4,18,10,10,25,"Autocorrelation"
2.75,0.374,0.104,4,18,10,10,25,"Autocorrelation"
3,0.322,0.088,4,18,10,10,25,"Autocorrelation"
3.25,0.254,0.068,4,18,10,10,25,"Autocorrelation"
3.5,0.216,0.048,4,18,10,10,25,"Autocorrelation"
3.75,0.18,0.036,4,18,10,10,25,"Autocorrelation"
4,0.154,0.036,4,18,10,10,25,"Autocorrelation"
4.25,0.132,0.028,4,18,10,10,25,"Autocorrelation"
4.5,0.11,0.016,4,18,10,10,25,"Autocorrelation"
4.75,0.088,0.012,4,18,10,10,25,"Autocorrelation"
5,0.072,0.012,4,18,10,10,25,"Autocorrelation"
5.25,0.064,0.006,4,18,10,10,25,"Autocorrelation"
5.5,0.056,0.004,4,18,10,10,25,"Autocorrelation"
5.75,0.054,0,4,18,10,10,25,"Autocorrelation"
6,0.052,0,4,18,10,10,25,"Autocorrelation"
0.25,0.77,0.724,6,18,10,10,25,"Autocorrelation"
0.5,0.73,0.644,6,18,10,10,25,"Autocorrelation"
0.75,0.68,0.58,6,18,10,10,25,"Autocorrelation"
1,0.616,0.512,6,18,10,10,25,"Autocorrelation"
1.25,0.556,0.444,6,18,10,10,25,"Autocorrelation"
1.5,0.494,0.366,6,18,10,10,25,"Autocorrelation"
1.75,0.402,0.28,6,18,10,10,25,"Autocorrelation"
2,0.352,0.226,6,18,10,10,25,"Autocorrelation"
2.25,0.292,0.176,6,18,10,10,25,"Autocorrelation"
2.5,0.244,0.136,6,18,10,10,25,"Autocorrelation"
2.75,0.202,0.11,6,18,10,10,25,"Autocorrelation"
3,0.19,0.074,6,18,10,10,25,"Autocorrelation"
3.25,0.154,0.058,6,18,10,10,25,"Autocorrelation"
3.5,0.124,0.046,6,18,10,10,25,"Autocorrelation"
3.75,0.098,0.03,6,18,10,10,25,"Autocorrelation"
4,0.08,0.024,6,18,10,10,25,"Autocorrelation"
4.25,0.062,0.02,6,18,10,10,25,"Autocorrelation"
4.5,0.056,0.014,6,18,10,10,25,"Autocorrelation"
4.75,0.044,0.006,6,18,10,10,25,"Autocorrelation"
5,0.034,0.004,6,18,10,10,25,"Autocorrelation"
5.25,0.02,0.004,6,18,10,10,25,"Autocorrelation"
5.5,0.018,0.002,6,18,10,10,25,"Autocorrelation"
5.75,0.018,0.002,6,18,10,10,25,"Autocorrelation"
6,0.016,0,6,18,10,10,25,"Autocorrelation"
0.25,0.756,0.742,8,18,10,10,25,"Autocorrelation"
0.5,0.708,0.664,8,18,10,10,25,"Autocorrelation"
0.75,0.638,0.586,8,18,10,10,25,"Autocorrelation"
1,0.552,0.504,8,18,10,10,25,"Autocorrelation"
1.25,0.468,0.43,8,18,10,10,25,"Autocorrelation"
1.5,0.384,0.338,8,18,10,10,25,"Autocorrelation"
1.75,0.334,0.272,8,18,10,10,25,"Autocorrelation"
2,0.276,0.216,8,18,10,10,25,"Autocorrelation"
2.25,0.226,0.172,8,18,10,10,25,"Autocorrelation"
2.5,0.182,0.13,8,18,10,10,25,"Autocorrelation"
2.75,0.156,0.108,8,18,10,10,25,"Autocorrelation"
3,0.136,0.08,8,18,10,10,25,"Autocorrelation"
3.25,0.118,0.058,8,18,10,10,25,"Autocorrelation"
3.5,0.09,0.042,8,18,10,10,25,"Autocorrelation"
3.75,0.068,0.036,8,18,10,10,25,"Autocorrelation"
4,0.054,0.024,8,18,10,10,25,"Autocorrelation"
4.25,0.042,0.016,8,18,10,10,25,"Autocorrelation"
4.5,0.034,0.008,8,18,10,10,25,"Autocorrelation"
4.75,0.032,0.008,8,18,10,10,25,"Autocorrelation"
5,0.026,0.006,8,18,10,10,25,"Autocorrelation"
5.25,0.02,0.006,8,18,10,10,25,"Autocorrelation"
5.5,0.016,0.006,8,18,10,10,25,"Autocorrelation"
5.75,0.01,0.004,8,18,10,10,25,"Autocorrelation"
6,0.008,0.004,8,18,10,10,25,"Autocorrelation"
0.25,0.698,0.718,10,18,10,10,25,"Autocorrelation"
0.5,0.642,0.648,10,18,10,10,25,"Autocorrelation"
0.75,0.57,0.562,10,18,10,10,25,"Autocorrelation"
1,0.51,0.49,10,18,10,10,25,"Autocorrelation"
1.25,0.432,0.422,10,18,10,10,25,"Autocorrelation"
1.5,0.364,0.336,10,18,10,10,25,"Autocorrelation"
1.75,0.318,0.266,10,18,10,10,25,"Autocorrelation"
2,0.264,0.198,10,18,10,10,25,"Autocorrelation"
2.25,0.204,0.156,10,18,10,10,25,"Autocorrelation"
2.5,0.166,0.112,10,18,10,10,25,"Autocorrelation"
2.75,0.144,0.078,10,18,10,10,25,"Autocorrelation"
3,0.11,0.056,10,18,10,10,25,"Autocorrelation"
3.25,0.096,0.042,10,18,10,10,25,"Autocorrelation"
3.5,0.074,0.03,10,18,10,10,25,"Autocorrelation"
3.75,0.058,0.026,10,18,10,10,25,"Autocorrelation"
4,0.04,0.018,10,18,10,10,25,"Autocorrelation"
4.25,0.032,0.012,10,18,10,10,25,"Autocorrelation"
4.5,0.02,0.008,10,18,10,10,25,"Autocorrelation"
4.75,0.014,0.006,10,18,10,10,25,"Autocorrelation"
5,0.012,0.006,10,18,10,10,25,"Autocorrelation"
5.25,0.012,0.004,10,18,10,10,25,"Autocorrelation"
5.5,0.01,0.004,10,18,10,10,25,"Autocorrelation"
5.75,0.008,0.004,10,18,10,10,25,"Autocorrelation"
6,0.008,0,10,18,10,10,25,"Autocorrelation"
0.25,0.804,0.752,4,90,10,10,25,"Autocorrelation"
0.5,0.727454909819639,0.652,4,90,10,10,25,"Autocorrelation"
0.75,0.659274193548387,0.578,4,90,10,10,25,"Autocorrelation"
1,0.58433734939759,0.482,4,90,10,10,25,"Autocorrelation"
1.25,0.511066398390342,0.398,4,90,10,10,25,"Autocorrelation"
1.5,0.432,0.334,4,90,10,10,25,"Autocorrelation"
1.75,0.356,0.27,4,90,10,10,25,"Autocorrelation"
2,0.282565130260521,0.224,4,90,10,10,25,"Autocorrelation"
2.25,0.238,0.182,4,90,10,10,25,"Autocorrelation"
2.5,0.204,0.146,4,90,10,10,25,"Autocorrelation"
2.75,0.162,0.114,4,90,10,10,25,"Autocorrelation"
3,0.142,0.09,4,90,10,10,25,"Autocorrelation"
3.25,0.114,0.074,4,90,10,10,25,"Autocorrelation"
3.5,0.096,0.058,4,90,10,10,25,"Autocorrelation"
3.75,0.0781563126252505,0.046,4,90,10,10,25,"Autocorrelation"
4,0.058,0.042,4,90,10,10,25,"Autocorrelation"
4.25,0.048,0.032,4,90,10,10,25,"Autocorrelation"
4.5,0.0340681362725451,0.032,4,90,10,10,25,"Autocorrelation"
4.75,0.03,0.026,4,90,10,10,25,"Autocorrelation"
5,0.022,0.022,4,90,10,10,25,"Autocorrelation"
5.25,0.018,0.014,4,90,10,10,25,"Autocorrelation"
5.5,0.014,0.014,4,90,10,10,25,"Autocorrelation"
5.75,0.01,0.012,4,90,10,10,25,"Autocorrelation"
6,0.008,0.012,4,90,10,10,25,"Autocorrelation"
0.25,0.668008048289738,0.726,6,90,10,10,25,"Autocorrelation"
0.5,0.576923076923077,0.65,6,90,10,10,25,"Autocorrelation"
0.75,0.51008064516129,0.588,6,90,10,10,25,"Autocorrelation"
1,0.447791164658635,0.512,6,90,10,10,25,"Autocorrelation"
1.25,0.356136820925553,0.428,6,90,10,10,25,"Autocorrelation"
1.5,0.294,0.344,6,90,10,10,25,"Autocorrelation"
1.75,0.236,0.282,6,90,10,10,25,"Autocorrelation"
2,0.192,0.222,6,90,10,10,25,"Autocorrelation"
2.25,0.146292585170341,0.18,6,90,10,10,25,"Autocorrelation"
2.5,0.114,0.148,6,90,10,10,25,"Autocorrelation"
2.75,0.096,0.118,6,90,10,10,25,"Autocorrelation"
3,0.074,0.084,6,90,10,10,25,"Autocorrelation"
3.25,0.0661322645290581,0.076,6,90,10,10,25,"Autocorrelation"
3.5,0.052,0.056,6,90,10,10,25,"Autocorrelation"
3.75,0.05,0.05,6,90,10,10,25,"Autocorrelation"
4,0.042,0.04,6,90,10,10,25,"Autocorrelation"
4.25,0.038,0.036,6,90,10,10,25,"Autocorrelation"
4.5,0.03,0.032,6,90,10,10,25,"Autocorrelation"
4.75,0.026,0.018,6,90,10,10,25,"Autocorrelation"
5,0.018,0.012,6,90,10,10,25,"Autocorrelation"
5.25,0.008,0.01,6,90,10,10,25,"Autocorrelation"
5.5,0.008,0.01,6,90,10,10,25,"Autocorrelation"
5.75,0.008,0.008,6,90,10,10,25,"Autocorrelation"
6,0.008,0.008,6,90,10,10,25,"Autocorrelation"
0.25,0.667334669338677,0.714,8,90,10,10,25,"Autocorrelation"
0.5,0.604838709677419,0.618,8,90,10,10,25,"Autocorrelation"
0.75,0.518072289156627,0.534,8,90,10,10,25,"Autocorrelation"
1,0.448897795591182,0.462,8,90,10,10,25,"Autocorrelation"
1.25,0.368,0.394,8,90,10,10,25,"Autocorrelation"
1.5,0.293172690763052,0.318,8,90,10,10,25,"Autocorrelation"
1.75,0.222444889779559,0.244,8,90,10,10,25,"Autocorrelation"
2,0.176,0.198,8,90,10,10,25,"Autocorrelation"
2.25,0.132,0.146,8,90,10,10,25,"Autocorrelation"
2.5,0.122,0.124,8,90,10,10,25,"Autocorrelation"
2.75,0.094,0.096,8,90,10,10,25,"Autocorrelation"
3,0.0601202404809619,0.072,8,90,10,10,25,"Autocorrelation"
3.25,0.048,0.06,8,90,10,10,25,"Autocorrelation"
3.5,0.03,0.042,8,90,10,10,25,"Autocorrelation"
3.75,0.024,0.038,8,90,10,10,25,"Autocorrelation"
4,0.016,0.028,8,90,10,10,25,"Autocorrelation"
4.25,0.014,0.026,8,90,10,10,25,"Autocorrelation"
4.5,0.014,0.022,8,90,10,10,25,"Autocorrelation"
4.75,0.008,0.02,8,90,10,10,25,"Autocorrelation"
5,0.006,0.018,8,90,10,10,25,"Autocorrelation"
5.25,0,0.014,8,90,10,10,25,"Autocorrelation"
5.5,0,0.014,8,90,10,10,25,"Autocorrelation"
5.75,0,0.012,8,90,10,10,25,"Autocorrelation"
6,0,0.01,8,90,10,10,25,"Autocorrelation"
0.25,0.632530120481928,0.728,10,90,10,10,25,"Autocorrelation"
0.5,0.5625,0.65,10,90,10,10,25,"Autocorrelation"
0.75,0.494969818913481,0.568,10,90,10,10,25,"Autocorrelation"
1,0.409638554216867,0.498,10,90,10,10,25,"Autocorrelation"
1.25,0.331325301204819,0.404,10,90,10,10,25,"Autocorrelation"
1.5,0.254032258064516,0.336,10,90,10,10,25,"Autocorrelation"
1.75,0.210420841683367,0.252,10,90,10,10,25,"Autocorrelation"
2,0.172,0.18,10,90,10,10,25,"Autocorrelation"
2.25,0.12625250501002,0.136,10,90,10,10,25,"Autocorrelation"
2.5,0.100200400801603,0.102,10,90,10,10,25,"Autocorrelation"
2.75,0.078,0.082,10,90,10,10,25,"Autocorrelation"
3,0.062124248496994,0.054,10,90,10,10,25,"Autocorrelation"
3.25,0.0321285140562249,0.042,10,90,10,10,25,"Autocorrelation"
3.5,0.0220440881763527,0.034,10,90,10,10,25,"Autocorrelation"
3.75,0.02,0.024,10,90,10,10,25,"Autocorrelation"
4,0.01,0.022,10,90,10,10,25,"Autocorrelation"
4.25,0.006,0.018,10,90,10,10,25,"Autocorrelation"
4.5,0.004,0.014,10,90,10,10,25,"Autocorrelation"
4.75,0.002,0.012,10,90,10,10,25,"Autocorrelation"
5,0.002,0.012,10,90,10,10,25,"Autocorrelation"
5.25,0.002,0.012,10,90,10,10,25,"Autocorrelation"
5.5,0.002,0.012,10,90,10,10,25,"Autocorrelation"
5.75,0,0.012,10,90,10,10,25,"Autocorrelation"
6,0,0.012,10,90,10,10,25,"Autocorrelation"
0.25,0.94,0.746,4,9,25,10,25,"Autocorrelation"
0.5,0.912,0.656,4,9,25,10,25,"Autocorrelation"
0.75,0.872,0.6,4,9,25,10,25,"Autocorrelation"
1,0.81,0.53,4,9,25,10,25,"Autocorrelation"
1.25,0.746,0.44,4,9,25,10,25,"Autocorrelation"
1.5,0.68,0.33,4,9,25,10,25,"Autocorrelation"
1.75,0.586,0.27,4,9,25,10,25,"Autocorrelation"
2,0.52,0.22,4,9,25,10,25,"Autocorrelation"
2.25,0.44,0.158,4,9,25,10,25,"Autocorrelation"
2.5,0.406,0.124,4,9,25,10,25,"Autocorrelation"
2.75,0.342,0.092,4,9,25,10,25,"Autocorrelation"
3,0.278,0.078,4,9,25,10,25,"Autocorrelation"
3.25,0.23,0.062,4,9,25,10,25,"Autocorrelation"
3.5,0.186,0.044,4,9,25,10,25,"Autocorrelation"
3.75,0.166,0.036,4,9,25,10,25,"Autocorrelation"
4,0.136,0.026,4,9,25,10,25,"Autocorrelation"
4.25,0.114,0.014,4,9,25,10,25,"Autocorrelation"
4.5,0.104,0.014,4,9,25,10,25,"Autocorrelation"
4.75,0.08,0.008,4,9,25,10,25,"Autocorrelation"
5,0.062,0.004,4,9,25,10,25,"Autocorrelation"
5.25,0.052,0.004,4,9,25,10,25,"Autocorrelation"
5.5,0.044,0.004,4,9,25,10,25,"Autocorrelation"
5.75,0.036,0.004,4,9,25,10,25,"Autocorrelation"
6,0.028,0.004,4,9,25,10,25,"Autocorrelation"
0.25,0.858,0.692,6,9,25,10,25,"Autocorrelation"
0.5,0.794,0.632,6,9,25,10,25,"Autocorrelation"
0.75,0.732,0.584,6,9,25,10,25,"Autocorrelation"
1,0.676,0.496,6,9,25,10,25,"Autocorrelation"
1.25,0.606,0.428,6,9,25,10,25,"Autocorrelation"
1.5,0.514,0.36,6,9,25,10,25,"Autocorrelation"
1.75,0.442,0.292,6,9,25,10,25,"Autocorrelation"
2,0.378,0.23,6,9,25,10,25,"Autocorrelation"
2.25,0.318,0.172,6,9,25,10,25,"Autocorrelation"
2.5,0.254,0.13,6,9,25,10,25,"Autocorrelation"
2.75,0.21,0.094,6,9,25,10,25,"Autocorrelation"
3,0.168,0.074,6,9,25,10,25,"Autocorrelation"
3.25,0.15,0.06,6,9,25,10,25,"Autocorrelation"
3.5,0.124,0.046,6,9,25,10,25,"Autocorrelation"
3.75,0.096,0.034,6,9,25,10,25,"Autocorrelation"
4,0.08,0.024,6,9,25,10,25,"Autocorrelation"
4.25,0.068,0.018,6,9,25,10,25,"Autocorrelation"
4.5,0.058,0.014,6,9,25,10,25,"Autocorrelation"
4.75,0.046,0.012,6,9,25,10,25,"Autocorrelation"
5,0.034,0.008,6,9,25,10,25,"Autocorrelation"
5.25,0.026,0.006,6,9,25,10,25,"Autocorrelation"
5.5,0.024,0.004,6,9,25,10,25,"Autocorrelation"
5.75,0.016,0.002,6,9,25,10,25,"Autocorrelation"
6,0.01,0.002,6,9,25,10,25,"Autocorrelation"
0.25,0.802,0.72,8,9,25,10,25,"Autocorrelation"
0.5,0.754,0.66,8,9,25,10,25,"Autocorrelation"
0.75,0.688,0.584,8,9,25,10,25,"Autocorrelation"
1,0.634,0.506,8,9,25,10,25,"Autocorrelation"
1.25,0.556,0.426,8,9,25,10,25,"Autocorrelation"
1.5,0.476,0.352,8,9,25,10,25,"Autocorrelation"
1.75,0.406,0.286,8,9,25,10,25,"Autocorrelation"
2,0.336,0.21,8,9,25,10,25,"Autocorrelation"
2.25,0.27,0.142,8,9,25,10,25,"Autocorrelation"
2.5,0.22,0.104,8,9,25,10,25,"Autocorrelation"
2.75,0.18,0.084,8,9,25,10,25,"Autocorrelation"
3,0.152,0.066,8,9,25,10,25,"Autocorrelation"
3.25,0.122,0.048,8,9,25,10,25,"Autocorrelation"
3.5,0.1,0.034,8,9,25,10,25,"Autocorrelation"
3.75,0.078,0.018,8,9,25,10,25,"Autocorrelation"
4,0.066,0.012,8,9,25,10,25,"Autocorrelation"
4.25,0.052,0.01,8,9,25,10,25,"Autocorrelation"
4.5,0.044,0.004,8,9,25,10,25,"Autocorrelation"
4.75,0.038,0,8,9,25,10,25,"Autocorrelation"
5,0.034,0,8,9,25,10,25,"Autocorrelation"
5.25,0.026,0,8,9,25,10,25,"Autocorrelation"
5.5,0.02,0,8,9,25,10,25,"Autocorrelation"
5.75,0.014,0,8,9,25,10,25,"Autocorrelation"
6,0.014,0,8,9,25,10,25,"Autocorrelation"
0.25,0.798,0.724,10,9,25,10,25,"Autocorrelation"
0.5,0.758,0.662,10,9,25,10,25,"Autocorrelation"
0.75,0.694,0.584,10,9,25,10,25,"Autocorrelation"
1,0.618,0.514,10,9,25,10,25,"Autocorrelation"
1.25,0.546,0.432,10,9,25,10,25,"Autocorrelation"
1.5,0.482,0.348,10,9,25,10,25,"Autocorrelation"
1.75,0.402,0.292,10,9,25,10,25,"Autocorrelation"
2,0.298,0.232,10,9,25,10,25,"Autocorrelation"
2.25,0.252,0.174,10,9,25,10,25,"Autocorrelation"
2.5,0.206,0.138,10,9,25,10,25,"Autocorrelation"
2.75,0.166,0.086,10,9,25,10,25,"Autocorrelation"
3,0.13,0.056,10,9,25,10,25,"Autocorrelation"
3.25,0.108,0.038,10,9,25,10,25,"Autocorrelation"
3.5,0.086,0.032,10,9,25,10,25,"Autocorrelation"
3.75,0.066,0.03,10,9,25,10,25,"Autocorrelation"
4,0.05,0.028,10,9,25,10,25,"Autocorrelation"
4.25,0.04,0.02,10,9,25,10,25,"Autocorrelation"
4.5,0.034,0.018,10,9,25,10,25,"Autocorrelation"
4.75,0.028,0.016,10,9,25,10,25,"Autocorrelation"
5,0.026,0.01,10,9,25,10,25,"Autocorrelation"
5.25,0.022,0.006,10,9,25,10,25,"Autocorrelation"
5.5,0.022,0.004,10,9,25,10,25,"Autocorrelation"
5.75,0.01,0.002,10,9,25,10,25,"Autocorrelation"
6,0.008,0.002,10,9,25,10,25,"Autocorrelation"
0.25,0.9,0.734,4,18,25,10,25,"Autocorrelation"
0.5,0.84,0.672,4,18,25,10,25,"Autocorrelation"
0.75,0.796,0.596,4,18,25,10,25,"Autocorrelation"
1,0.718,0.516,4,18,25,10,25,"Autocorrelation"
1.25,0.632,0.422,4,18,25,10,25,"Autocorrelation"
1.5,0.562,0.356,4,18,25,10,25,"Autocorrelation"
1.75,0.506,0.276,4,18,25,10,25,"Autocorrelation"
2,0.454,0.218,4,18,25,10,25,"Autocorrelation"
2.25,0.36,0.164,4,18,25,10,25,"Autocorrelation"
2.5,0.304,0.136,4,18,25,10,25,"Autocorrelation"
2.75,0.25,0.104,4,18,25,10,25,"Autocorrelation"
3,0.202,0.088,4,18,25,10,25,"Autocorrelation"
3.25,0.172,0.068,4,18,25,10,25,"Autocorrelation"
3.5,0.132,0.048,4,18,25,10,25,"Autocorrelation"
3.75,0.108,0.036,4,18,25,10,25,"Autocorrelation"
4,0.092,0.036,4,18,25,10,25,"Autocorrelation"
4.25,0.08,0.028,4,18,25,10,25,"Autocorrelation"
4.5,0.066,0.016,4,18,25,10,25,"Autocorrelation"
4.75,0.058,0.012,4,18,25,10,25,"Autocorrelation"
5,0.044,0.012,4,18,25,10,25,"Autocorrelation"
5.25,0.032,0.006,4,18,25,10,25,"Autocorrelation"
5.5,0.03,0.004,4,18,25,10,25,"Autocorrelation"
5.75,0.026,0,4,18,25,10,25,"Autocorrelation"
6,0.022,0,4,18,25,10,25,"Autocorrelation"
0.25,0.842,0.724,6,18,25,10,25,"Autocorrelation"
0.5,0.78,0.644,6,18,25,10,25,"Autocorrelation"
0.75,0.714,0.58,6,18,25,10,25,"Autocorrelation"
1,0.638,0.512,6,18,25,10,25,"Autocorrelation"
1.25,0.562,0.444,6,18,25,10,25,"Autocorrelation"
1.5,0.498,0.366,6,18,25,10,25,"Autocorrelation"
1.75,0.408,0.28,6,18,25,10,25,"Autocorrelation"
2,0.34,0.226,6,18,25,10,25,"Autocorrelation"
2.25,0.28,0.176,6,18,25,10,25,"Autocorrelation"
2.5,0.224,0.136,6,18,25,10,25,"Autocorrelation"
2.75,0.19,0.11,6,18,25,10,25,"Autocorrelation"
3,0.144,0.074,6,18,25,10,25,"Autocorrelation"
3.25,0.126,0.058,6,18,25,10,25,"Autocorrelation"
3.5,0.108,0.046,6,18,25,10,25,"Autocorrelation"
3.75,0.088,0.03,6,18,25,10,25,"Autocorrelation"
4,0.068,0.024,6,18,25,10,25,"Autocorrelation"
4.25,0.052,0.02,6,18,25,10,25,"Autocorrelation"
4.5,0.03,0.014,6,18,25,10,25,"Autocorrelation"
4.75,0.02,0.006,6,18,25,10,25,"Autocorrelation"
5,0.016,0.004,6,18,25,10,25,"Autocorrelation"
5.25,0.012,0.004,6,18,25,10,25,"Autocorrelation"
5.5,0.008,0.002,6,18,25,10,25,"Autocorrelation"
5.75,0.008,0.002,6,18,25,10,25,"Autocorrelation"
6,0.008,0,6,18,25,10,25,"Autocorrelation"
0.25,0.79,0.742,8,18,25,10,25,"Autocorrelation"
0.5,0.736,0.664,8,18,25,10,25,"Autocorrelation"
0.75,0.674,0.586,8,18,25,10,25,"Autocorrelation"
1,0.596,0.504,8,18,25,10,25,"Autocorrelation"
1.25,0.528,0.43,8,18,25,10,25,"Autocorrelation"
1.5,0.442,0.338,8,18,25,10,25,"Autocorrelation"
1.75,0.384,0.272,8,18,25,10,25,"Autocorrelation"
2,0.314,0.216,8,18,25,10,25,"Autocorrelation"
